8	0	1
-36	440	-1155		60	291	-1242
103	397	-1060		74	327	-1181
-201	398	-622		-17	350	-995
-238	231	-476		-91	310	-821
-38	548	-383		-73	390	-675
-75	1163	-11		-74	648	-453
-360	373	116		-169	556	-263
-364	203	134		-234	438	-130
-100	212	32		-189	363	-76
-6	307	20		-128	344	-43
-20	223	81		-92	304	-1
-142	-98	168		-109	169	54
-292	-252	410		-170	28	173
-265	-66	712		-202	-3	353
-247	102	904		-217	32	537
-315	-154	1097		-250	-30	724
-640	-50	1396		-380	-36	948
-313	352	1118		-358	93	1005
-133	510	1254		-283	232	1088
-543	220	1796		-370	228	1325
-410	296	1304		-383	251	1318
-291	498	1379		-352	333	1338
-632	476	1986		-446	381	1554
-230	754	833		-374	506	1314
-266	695	802		-338	569	1143
-436	795	1312		-370	644	1199
-182	1212	503		-307	834	967
-260	1302	131		-292	990	688
-330	910	155		-304	963	510
-264	918	131		-291	948	383
-245	1404	-121		-275	1100	214
-249	1338	-13		-267	1180	138
-282	1319	184		-272	1226	153
-192	1072	18		-245	1175	108
-330	797	15		-273	1049	77
-396	512	346		-314	870	167
-370	152	486		-333	630	274
-401	253	651		-356	504	400
-445	9	751		-385	339	517
-550	-595	1040		-440	27	692
-505	-527	1029		-462	-158	804
-499	-429	1016		-475	-248	875
-396	-552	930		-448	-350	893
-271	-321	805		-389	-340	864
-295	-397	754		-358	-359	827
-357	-678	808		-358	-466	821
-300	-884	607		-338	-605	750
-130	-501	516		-269	-571	672
-80	-616	700		-206	-586	681
209	-1198	465		-67	-790	609
432	-797	-81		99	-792	378
481	-430	-209		227	-671	182
504	-612	-276		319	-652	29
562	-528	-587		400	-610	-176
1049	-890	-892		617	-704	-415
1766	-1027	-1356		1001	-812	-730
1332	-887	-1049		1112	-837	-836
1487	-457	-1242		1237	-710	-972
1571	148	-1383		1349	-423	-1109
1160	-78	-1045		1285	-308	-1088
900	-3	-849		1157	-206	-1008
1246	335	-1074		1186	-25	-1030
1891	876	-1332		1422	275	-1131
1093	847	-750		1312	466	-1004
539	681	-563		1054	538	-856
1054	919	-760		1054	665	-824
1843	1620	-1253		1317	984	-968
825	1420	-460		1153	1130	-798
175	1291	-328		826	1184	-641
537	1301	-481		730	1223	-588
974	1648	-867		811	1365	-681
458	907	-613		693	1212	-658
291	988	-588		559	1137	-635
568	1062	-760		562	1112	-677
1075	881	-1211		733	1035	-855
696	561	-853		721	877	-854
485	99	-727		642	617	-812
881	440	-1040		722	558	-888
1528	973	-1404		991	696	-1060
1433	746	-1242		1139	713	-1121
984	644	-614		1087	690	-952
1088	804	-438		1087	728	-780
1338	691	-435		1171	716	-665
1223	1025	18		1188	819	-436
886	849	564		1087	829	-102
1240	1724	210		1138	1128	2
1158	1698	467		1145	1318	157
1031	1357	769		1107	1331	361
810	1755	1002		1008	1473	575
922	1992	733		979	1646	628
880	1045	1124		946	1445	794
634	400	1617		842	1096	1069
449	117	1491		710	769	1210
465	369	1439		629	635	1286
455	498	1349		571	590	1307
273	69	1791		471	416	1469
68	41	1954		337	290	1631
71	245	1682		248	275	1648
127	415	1765		208	322	1687
189	198	1837		201	280	1737
149	-12	2016		184	182	1830
34	-116	1968		134	82	1876
138	195	1572		135	120	1774
99	383	1348		123	208	1632
-56	-169	1744		63	81	1669
-201	-948	1893		-25	-262	1744
-70	-600	1337		-40	-375	1608
-28	-228	1286		-36	-326	1500
-136	-1111	1849		-69	-588	1617
-148	-1606	1771		-96	-928	1668
-79	-1214	1466		-90	-1024	1601
-133	-1032	1440		-104	-1026	1547
-58	-1532	1576		-89	-1195	1557
-133	-1553	1260		-104	-1315	1457
-202	-1865	1188		-137	-1499	1368
-113	-1725	1254		-129	-1574	1330
-53	-1405	942		-103	-1518	1200
-60	-1207	654		-89	-1414	1018
-74	-1208	650		-84	-1345	895
-20	-1176	677		-63	-1288	822
232	-929	354		35	-1168	666
218	-1063	343		96	-1133	558
111	-930	421		101	-1066	512
116	-973	282		106	-1035	435
130	-1006	185		114	-1025	352
108	-853	255		112	-968	319
82	-1151	277		102	-1029	305
89	-1194	200		98	-1084	270
152	-858	-44		116	-1009	165
245	-1077	23		159	-1031	118
177	-1272	154		165	-1112	130
122	-1046	19		151	-1090	93
294	-902	-162		199	-1027	7
333	-986	-211		244	-1014	-65
169	-1083	-193		219	-1037	-108
415	-910	-271		284	-994	-162
671	-718	-642		414	-902	-322
549	-925	-553		459	-910	-400
512	-929	-223		477	-916	-341
756	-568	-428		570	-800	-370
1036	-765	-921		726	-788	-554
1011	-913	-867		821	-830	-659
959	-770	-851		867	-810	-723
1294	-736	-1102		1010	-785	-850
1652	-739	-1591		1224	-770	-1097
942	-862	-758		1130	-801	-984
711	-1189	-1086		990	-930	-1018
1589	-308	-2030		1190	-723	-1356
1082	-467	-1234		1154	-637	-1315
489	-711	-848		932	-662	-1159
746	-55	-1488		870	-459	-1269
1760	542	-1817		1167	-124	-1452
1036	397	-895		1123	49	-1266
176	139	-772		807	79	-1101
436	457	-1037		683	205	-1080
1772	1193	-1592		1047	535	-1251
1144	1242	-1408		1079	771	-1303
-465	549	-1851		563	697	-1486
-345	196	-1455		259	530	-1476
635	15	-2062		385	358	-1672
-722	-222	-1170		15	164	-1504
-376	217	-1984		-115	182	-1664
546	187	-2529		105	183	-1953
737	-150	-2709		316	72	-2206
-652	-694	-1595		-6	-183	-2002
-796	-1052	-1562		-270	-473	-1855
136	22	-1645		-134	-308	-1785
191	-369	-1525		-25	-328	-1698
-815	-132	-1027		-289	-263	-1474
-195	437	-1337		-258	-29	-1428
962	708	-1308		149	217	-1388
-134	708	-466		54	381	-1080
-692	773	-913		-194	512	-1024
302	537	-1145		-28	520	-1065
323	288	-980		88	443	-1036
-490	123	-694		-104	336	-922
-627	49	-538		-279	240	-794
57	-192	-505		-166	96	-697
262	-304	-110		-23	-37	-501
139	67	148		31	-2	-284
-254	-101	709		-64	-35	47
-181	-5	946		-103	-25	347
-74	450	967		-93	133	554
-450	293	1574		-212	186	895
-464	142	1897		-296	171	1230
-342	192	1751		-312	178	1404
255	450	1324		-122	269	1377
244	439	1450		0	326	1401
-219	-40	921		-73	204	1241
-551	-11	933		-233	132	1138
-217	291	926		-227	185	1067
-16	443	982		-157	271	1039
-154	251	1190		-156	264	1089
-459	-112	1581		-257	138	1254
-303	-1	1683		-272	91	1397
-254	-242	1571		-266	-19	1455
-392	-531	2169		-308	-190	1694
-68	-389	1654		-228	-256	1680
-86	-381	1395		-181	-298	1585
-78	-213	1577		-146	-269	1583
-238	37	1631		-177	-167	1599
-100	-157	1564		-151	-163	1587
34	52	1640		-89	-91	1605
-189	-13	1832		-122	-65	1681
-387	-290	1703		-211	-140	1688
-77	-42	1492		-166	-107	1622
-204	14	1465		-179	-67	1570
-570	-197	1627		-309	-110	1589
-561	-12	1579		-393	-77	1586
-626	185	1502		-471	10	1558
-1019	67	1817		-654	29	1644
-841	179	1835		-716	79	1708
-648	-171	1761		-694	-4	1726
-910	-114	1866		-766	-41	1773
-864	377	2099		-799	98	1882
-297	322	1948		-631	173	1904
-157	251	1725		-473	199	1844
-245	61	1578		-397	153	1755
-7	283	1804		-267	196	1771
162	460	1810		-123	285	1784
-49	167	1638		-99	245	1736
-131	-59	1249		-110	143	1573
-97	-119	1263		-105	55	1470
-360	-53	1188		-190	19	1376
-611	-55	779		-331	-5	1176
-655	-340	391		-439	-117	914
-493	-466	666		-457	-234	831
-669	-448	589		-528	-305	750
-580	-403	497		-545	-338	666
-697	-282	173		-596	-319	501
-922	-199	-35		-705	-279	321
-782	712	-333		-731	51	102
-872	-111	-404		-778	-2	-66
-660	-681	-557		-738	-229	-230
-342	-407	-1039		-606	-288	-500
-581	-205	-1594		-598	-260	-865
-1051	-146	-1828		-749	-222	-1187
-913	-338	-1715		-804	-261	-1363
-601	-262	-1653		-736	-261	-1460
-586	-551	-1405		-686	-358	-1442
-752	-488	-1623		-708	-401	-1502
119	-340	-1896		-431	-381	-1634
146	-757	-2122		-238	-506	-1797
-56	-1052	-2749		-177	-688	-2115
1384	-668	-3654		343	-681	-2629
1717	-1517	-3280		802	-960	-2846
76	-1018	-3293		559	-980	-2995
519	-1124	-2696		546	-1028	-2895
1362	-1277	-2124		819	-1111	-2638
247	-1168	-1944		628	-1130	-2406
-4	-1015	-1733		416	-1092	-2181
964	-1101	-1813		599	-1095	-2058
1097	-1080	-1655		766	-1090	-1924
1110	-732	-1882		881	-970	-1910
1140	-1381	-1675		967	-1107	-1831
1094	-842	-1413		1009	-1019	-1692
941	-414	-1505		987	-817	-1629
875	-633	-1243		949	-756	-1500
871	-984	-1248		923	-832	-1416
992	-1081	-1150		946	-915	-1327
1537	-256	-1091		1143	-695	-1248
1731	-117	-914		1339	-502	-1137
1056	-478	-919		1245	-494	-1064
618	-577	-1167		1035	-522	-1098
616	-378	-1274		895	-474	-1157
24	-501	-1260		604	-483	-1191
-392	-854	-964		271	-607	-1115
-540	-560	-953		0	-591	-1061
113	-388	-1051		38	-523	-1058
112	-325	-670		63	-457	-928
112	-149	-838		79	-354	-898
306	-32	-1293		155	-247	-1030
272	-185	-954		194	-226	-1005
-17	-500	208		123	-318	-599
-508	-476	54		-87	-371	-381
128	7	-458		-15	-244	-407
451	23	-240		140	-155	-351
102	-134	-38		127	-148	-246
-92	165	-294		54	-43	-262
419	374	-5		176	96	-176
644	218	386		332	136	11
149	246	586		271	173	203
-626	615	948		-28	321	452
-381	1245	1519		-146	630	808
536	1934	1511		81	1065	1043
73	1600	1319		78	1244	1135
-259	968	1955		-34	1152	1409
-426	422	1302		-165	908	1373
-673	-575	1033		-334	413	1260
-536	-684	1613		-402	46	1378
-26	-614	1747		-276	-174	1501
-520	-380	1309		-358	-243	1437
-854	39	1685		-523	-148	1520
-419	740	1807		-488	148	1616
-5	1699	1533		-327	666	1588
-118	1656	1644		-257	997	1607
-244	1006	1640		-253	1000	1618
-406	-220	1236		-304	592	1490
-442	-367	1472		-350	271	1484
-337	-396	1458		-346	48	1475
-405	-395	1448		-366	-99	1466
-115	42	1374		-282	-52	1435
-189	589	1273		-251	162	1381
-338	293	1405		-280	206	1389
18	259	1111		-180	223	1296
142	446	1090		-72	298	1227
55	305	970		-29	300	1141
54	47	1067		-1	216	1117
