-33	&?	-2	-3
-22	-8	-559
-13	4	-543
-28	6	-612
-31	-20	-649
-31	10	-614
-26	-22	-656
-31	-12	-723
-28	28	-773
-32	0	-818
-35	-18	-785
-27	16	-714
-28	-7	-659
-34	-12	-731
-24	8	-728
-28	1	-738
-24	-5	-650
-23	16	-625
-27	-7	-620
-29	-13	-590
-20	-8	-571
-20	-25	-615
-24	-8	-614
-23	-41	-630
-29	-38	-650
-27	-22	-731
-38	-20	-933
-32	-36	-1001
-23	-65	-738
-24	-6	-543
-21	5	-546
-27	9	-580
-23	-11	-598
-20	-12	-562
-21	-31	-624
-29	14	-649
-26	-19	-642
-27	7	-587
-21	-8	-521
-22	2	-485
-18	0	-490
-18	-5	-456
-18	-20	-395
-12	5	-328
-16	0	-335
-16	-1	-381
-18	-1	-427
-30	11	-496
-16	-8	-475
-21	6	-499
-17	3	-551
-19	-11	-556
-22	-10	-570
-26	-16	-747
-32	15	-858
-31	15	-730
-19	0	-647
-27	-8	-691
-30	-8	-703
-30	3	-713
-28	2	-731
-26	4	-765
-34	10	-859
-29	-6	-914
-40	-5	-867
-33	0	-839
-33	-12	-859
-24	-8	-765
-21	10	-633
-20	17	-542
-20	-15	-608
-25	-17	-625
-25	2	-520
-17	8	-403
-12	4	-306
-9	-7	-226
-10	-5	-272
-8	0	-211
-8	-8	-244
-11	-6	-286
-10	7	-269
-15	4	-212
-16	-14	-229
-18	-4	-293
-15	0	-259
-7	2	-193
-9	1	-121
-4	6	-47
-2	-8	10
2	-5	79
4	2	110
3	7	101
9	2	136
2	3	168
7	11	221
7	5	234
5	6	205
6	1	207
5	2	131
-2	1	104
-2	7	81
1	1	82
2	7	87
-2	2	98
0	-1	65
0	1	82
1	4	78
1	2	67
1	1	52
-1	0	68
0	0	88
4	5	77
0	-2	100
4	5	82
-2	11	69
3	2	92
0	3	59
2	-1	83
2	0	66
3	3	80
5	2	126
2	2	111
0	1	73
0	4	71
1	3	72
4	7	111
5	-1	112
4	0	101
5	11	162
6	3	191
6	-1	152
3	0	149
1	-3	161
5	13	171
4	4	178
4	2	189
